127.0.0.1 - - [26/Sep/2022:20:08:43 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Sep/2022:20:08:43 +0530] "GET /Web_project/WEB-INF/index1.html HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Sep/2022:20:08:43 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Sep/2022:20:11:48 +0530] "GET /Web_project/WEB-INF/index1.html HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Sep/2022:20:12:06 +0530] "GET /Web_project/WEB-INF/index1.html HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Sep/2022:20:12:20 +0530] "GET /Web_project/WEB-INF/index1.html HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Sep/2022:20:12:20 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Sep/2022:20:13:29 +0530] "GET /Web_project/WEB-INF/index1.html HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Sep/2022:20:16:20 +0530] "GET /Web_project/WEB-INF/index1.html HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Sep/2022:20:19:25 +0530] "GET /Web_project/WEB-INF/index1.html HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Sep/2022:20:24:30 +0530] "GET /Web_project/WEB-INF/index1.html HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Sep/2022:20:24:30 +0530] "GET /Web_project/WEB-INF/index1.html HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Sep/2022:20:24:31 +0530] "GET /Web_project/WEB-INF/index1.html HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Sep/2022:20:24:31 +0530] "GET /Web_project/WEB-INF/index1.html HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Sep/2022:20:24:31 +0530] "GET /Web_project/WEB-INF/index1.html HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Sep/2022:20:25:04 +0530] "GET /Web_project/WEB-INF/index1.html HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Sep/2022:20:25:04 +0530] "GET /Web_project/WEB-INF/index1.html HTTP/1.1" 404 682
